Name,Organization,Provider Type,Facility Type,Address,Suburb,Postcode,Phone,Website,group_services_standardized,individual_services_standardized,associated_services_standardized,Verification Notes (as of Oct 2025),City_Sheet,State,latitude,longitude,geocode_accuracy,geocode_source,geocode_display_name
Victorian Cancer Registry,Cancer Council Victoria,Government/NGO,Data Service,615 St Kilda Road,Melbourne,3004,03 9514 6100,https://www.cancervic.org.au,education,data_provision; research_support,health_planning_support,"Verified. Official state entity for cancer data collection, supporting research and health planning.",Melbourne_clean,VIC,-37.8521847,144.9820481,high,Nominatim,"Cancer Council Victoria, 615, St Kilda Road, Melbourne, City of Port Phillip, Victoria, 3004, Australia"
Parkville Familial Cancer Centre,Royal Melbourne Hospital/Peter Mac,Public Hospital,Genetic Services,300 Grattan Street,Parkville,3050,03 9342 7151,https://www.thermh.org.au,support_group; education,genetic_counselling; genetic_testing; risk_assessment,research_participation,Verified. The primary familial cancer clinic for the Parkville Health Precinct.,Melbourne_clean,VIC,-37.7986604,144.9564244,high,Nominatim,"The Royal Melbourne Hospital, 300, Grattan Street, Parkville, Melbourne, City of Melbourne, Victoria, 3052, Australia"
Austin Health Familial Cancer Clinic,Austin Health,Public Hospital,Genetic Services,145 Studley Road,Heidelberg,3084,03 9496 3027,https://www.austin.org.au,support_group; education,genetic_counselling; genetic_testing; risk_assessment,research_participation,Verified. The familial cancer service for the Austin Health catchment area.,Melbourne_clean,VIC,-37.7565612,145.0586566,high,Nominatim,"Austin Hospital, 145, Studley Road, Heidelberg, Melbourne, City of Banyule, Victoria, 3084, Australia"
Monash Health Familial Cancer Centre,Monash Health,Public Hospital,Genetic Services,246 Clayton Road,Clayton,3168,03 9594 2026,https://monashhealth.org,support_group; education,genetic_counselling; genetic_testing; risk_assessment,research_participation,Verified. The familial cancer service for the Monash Health network.,Melbourne_clean,VIC,-37.9208228,145.1224428,high,Nominatim,"Jessie McPherson Private Hospital, 246, Clayton Road, Clayton, Melbourne, City of Monash, Victoria, 3168, Australia"
The Alfred Radiation Oncology,Alfred Health,Public Hospital,Radiation Service,55 Commercial Road,Melbourne,3004,03 9076 3643,https://www.alfredhealth.org.au,support_group,radiation_therapy,clinical_trials,Verified. The specialist radiation therapy department within The Alfred.,Melbourne_clean,VIC,-37.8461194,144.9827286,high,Nominatim,"Alfred Hospital, 55, Commercial Road, Melbourne, City of Melbourne, Victoria, 3004, Australia"
McGrath Breast Care Nurse (Peter Mac),McGrath Foundation,NGO/Charity,Nursing Support,305 Grattan Street,Melbourne,3004,03 8559 5000,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse is embedded within the Peter Mac oncology team. Access via hospital referral or McGrath Foundation.,Melbourne_clean,VIC,-37.7999274,144.9562153,high,Nominatim,"Victorian Comprehensive Cancer Centre, 305, Grattan Street, Parkville, Melbourne, City of Melbourne, Victoria, 3052, Australia"
McGrath Breast Care Nurse (The Alfred),McGrath Foundation,NGO/Charity,Nursing Support,55 Commercial Road,Melbourne,3004,03 9076 2000,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse is embedded within The Alfred's cancer services. Access via hospital referral or McGrath Foundation.,Melbourne_clean,VIC,-37.8461194,144.9827286,high,Nominatim,"Alfred Hospital, 55, Commercial Road, Melbourne, City of Melbourne, Victoria, 3004, Australia"
McGrath Breast Care Nurse (Austin Health),McGrath Foundation,NGO/Charity,Nursing Support,145 Studley Road,Heidelberg,3084,03 9496 5000,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse is embedded within the Austin Health cancer services. Access via hospital referral or McGrath Foundation.,Melbourne_clean,VIC,-37.7565612,145.0586566,high,Nominatim,"Austin Hospital, 145, Studley Road, Heidelberg, Melbourne, City of Banyule, Victoria, 3084, Australia"
McGrath Breast Care Nurse (Monash Health),McGrath Foundation,NGO/Charity,Nursing Support,246 Clayton Road,Clayton,3168,03 9594 6666,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse is embedded within the Monash Health cancer services. Access via hospital referral or McGrath Foundation.,Melbourne_clean,VIC,-37.9208228,145.1224428,high,Nominatim,"Jessie McPherson Private Hospital, 246, Clayton Road, Clayton, Melbourne, City of Monash, Victoria, 3168, Australia"
McGrath Breast Care Nurse (Eastern Health),McGrath Foundation,NGO/Charity,Nursing Support,8 Arnold Street,Box Hill,3128,03 9895 3333,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse is embedded within the Eastern Health cancer services. Access via hospital referral or McGrath Foundation.,Melbourne_clean,VIC,-37.8138377,145.1185422,high,Nominatim,"8, Arnold Street, Box Hill, Melbourne, City of Whitehorse, Victoria, 3128, Australia"
McGrath Breast Care Nurse (St Vincent's),McGrath Foundation,NGO/Charity,Nursing Support,41 Victoria Parade,Fitzroy,3065,03 9231 2211,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse is embedded within the St Vincent's Hospital cancer services. Access via hospital referral or McGrath Foundation.,Melbourne_clean,VIC,-37.8070939,144.9746855,high,Nominatim,"St Vincent's Hospital, 41, Victoria Parade, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia"
McGrath Breast Care Nurse (Western Health),McGrath Foundation,NGO/Charity,Nursing Support,176 Furlong Road,St Albans,3021,03 8345 6666,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse is embedded within the Western Health cancer services. Access via hospital referral or McGrath Foundation.,Melbourne_clean,VIC,-37.7588363,144.8173902,high,Nominatim,"Sunshine Hospital, 176-190, Furlong Road, St Albans, Melbourne, City of Brimbank, Victoria, 3021, Australia"
Chris O'Brien Lifehouse,Chris O'Brien Lifehouse,Public-Private,Specialized Cancer Hospital,119-143 Missenden Road,Camperdown,2050,02 8514 0000,https://www.mylifehouse.org.au,meditation/mindfulness; yoga; exercise,acupuncture; oncology_massage; exercise_physiology; physiotherapy,psychology; art_therapy; music_therapy; social_work; dietetics,"Verified. A comprehensive, integrated cancer centre co-located with RPA Hospital.",Sydney_clean,NSW,-33.8897154,151.1821526,high,Nominatim,"Missenden Road, Camperdown, Inner West, Sydney, Council of the City of Sydney, New South Wales, 2050, Australia"
Royal Prince Alfred Hospital Cancer Services,Sydney Local Health District,Public Hospital,Hospital,Missenden Road,Camperdown,2050,02 9515 6111,https://slhd.health.nsw.gov.au/rpa,support_group,clinical_trials; none,psychology; social_work; dietetics,Verified. Major tertiary hospital whose services are closely integrated with Chris O'Brien Lifehouse.,Sydney_clean,NSW,-33.8897154,151.1821526,high,Nominatim,"Missenden Road, Camperdown, Inner West, Sydney, Council of the City of Sydney, New South Wales, 2050, Australia"
Prince of Wales Hospital Nelune Cancer Centre,South Eastern Sydney LHD,Public Hospital,Hospital,High Street,Randwick,2031,02 9382 2222,https://www.seslhd.health.nsw.gov.au/prince-of-wales-hospital,support_group,physiotherapy; none,psychology; social_work; dietetics,Verified. Key cancer treatment centre for Sydney's south-eastern suburbs.,Sydney_clean,NSW,-33.9164836,151.2357163,high,Nominatim,"High Street, Randwick, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2031, Australia"
Liverpool Cancer Therapy Centre,South Western Sydney LHD,Public Hospital,Hospital,Elizabeth Street,Liverpool,2170,02 8738 3000,https://www.swslhd.health.nsw.gov.au/liverpool,qi_gong/tai_chi; yoga; exercise; meditation/mindfulness; art_therapy,acupuncture; oncology_massage; physiotherapy,psychology; art_therapy; social_work; dietetics,"Verified. A major public centre with a significant, well-regarded wellness program.",Sydney_clean,NSW,-33.9209566,150.9318502,high,Nominatim,"Elizabeth Street, Liverpool, Sydney, Liverpool City Council, New South Wales, 2170, Australia"
Westmead Hospital Cancer Centre,Western Sydney LHD,Public Hospital,Hospital,Cnr Darcy and Hawkesbury Rds,Westmead,2145,02 8890 5200,https://www.wslhd.health.nsw.gov.au/westmead-hospital,support_group,none,psychology; social_work; dietetics,Verified. Primary tertiary cancer centre for the large Western Sydney population.,Sydney_clean,NSW,,,failed,,
Nepean Hospital Cancer & Wellness Centre,Nepean Blue Mountains LHD,Public Hospital,Hospital,Cnr Great Western Hwy and Somerset St,Kingswood,2747,02 4734 2000,https://www.nbmlhd.health.nsw.gov.au/,exercise; art_therapy; meditation/mindfulness; support_group,physiotherapy,psychology; art_therapy; social_work; dietetics; palliative_care,Verified. Key regional centre serving the Nepean and Blue Mountains communities.,Sydney_clean,NSW,,,failed,,
St Vincent's Hospital Kinghorn Cancer Centre,St Vincent's Health Network,Public Hospital,Hospital,390 Victoria Street,Darlinghurst,2010,02 8382 1111,https://www.svhs.org.au,support_group,none,psychology; social_work; dietetics,Verified. Major inner-city hospital with a strong focus on clinical trials and research.,Sydney_clean,NSW,-33.880122,151.2211619,high,Nominatim,"St Vincent's Hospital, 390, Victoria Street, Darlinghurst, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia"
St George Hospital Cancer Care Centre,South Eastern Sydney LHD,Public Hospital,Hospital,Gray Street,Kogarah,2217,02 9113 1111,https://www.seslhd.health.nsw.gov.au/st-george-hospital,support_group,none,psychology; social_work,Verified. A key public provider of cancer services for the St George and Sutherland regions.,Sydney_clean,NSW,-33.9682767,151.1334001,high,Nominatim,"Gray Street, Kogarah, St George, Sydney, Georges River Council, New South Wales, 2217, Australia"
Concord Cancer Centre,Sydney LHD,Public Hospital,Hospital,Hospital Road,Concord,2139,02 9767 5000,https://slhd.health.nsw.gov.au/concord,support_group,none,psychology; social_work; dietetics,Verified. Provides comprehensive cancer services including a well-established survivorship clinic.,Sydney_clean,NSW,-33.8396769,151.0883168,high,Nominatim,"Hospital Road, Concord West, Inner West, Sydney, City of Canada Bay Council, New South Wales, 2138, Australia"
Royal North Shore Hospital Cancer Centre,Northern Sydney LHD,Public Hospital,Hospital,Reserve Road,St Leonards,2065,02 9926 7111,https://www.nslhd.health.nsw.gov.au/RNSH,support_group,none,psychology; social_work,Verified. Major tertiary referral hospital for Northern Sydney.,Sydney_clean,NSW,-33.8222393,151.1913761,high,Nominatim,"Reserve Road, St Leonards, Lower North Shore, Sydney, Willoughby City Council, New South Wales, 2065, Australia"
Bankstown-Lidcombe Hospital Cancer Centre,South Western Sydney LHD,Public Hospital,Hospital,68 Eldridge Road,Bankstown,2200,02 9722 8000,https://www.swslhd.health.nsw.gov.au/bankstown,none,none,psychology; social_work; palliative_care,Verified. Provides essential cancer services for the Canterbury-Bankstown local area.,Sydney_clean,NSW,-33.931954,151.021276,high,Nominatim,"Eldridge Road, Bankstown, Sydney, Canterbury-Bankstown Council, New South Wales, 2200, Australia"
Blacktown Cancer & Haematology Centre,Western Sydney LHD,Public Hospital,Hospital,18 Blacktown Road,Blacktown,2148,02 9881 8000,https://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital,support_group,none,psychology; social_work,Verified. An important and growing cancer service for the Blacktown-Mt Druitt area.,Sydney_clean,NSW,-33.7784342,150.9202277,high,Nominatim,"Blacktown Road, Blacktown, Sydney, Blacktown City Council, New South Wales, 2148, Australia"
Campbelltown Hospital Macarthur Cancer Centre,South Western Sydney LHD,Public Hospital,Hospital,Therry Road,Campbelltown,2560,02 4634 3000,https://www.swslhd.health.nsw.gov.au/campbelltown,support_group,clinical_trials,psychology; social_work,Verified. Serves the rapidly expanding Macarthur and South Western Sydney growth corridor.,Sydney_clean,NSW,-34.0799489,150.8004561,high,Nominatim,"Therry Road, Ambarvale, Sydney, Campbelltown City Council, New South Wales, 2560, Australia"
Cancer Council NSW Information & Support,Cancer Council NSW,NGO,Support Center,153 Dowling Street,Woolloomooloo,2011,13 11 20,https://www.cancercouncil.com.au,support_group; education,none; counselling,social_work,Verified. The main office and support centre for the peak cancer charity in NSW.,Sydney_clean,NSW,-33.8713139,151.2211434,high,Nominatim,"Dowling Street, Woolloomooloo, Sydney, Council of the City of Sydney, New South Wales, 2011, Australia"
Cancer Council NSW Parramatta,Cancer Council NSW,NGO,Support Center,75 George Street,Parramatta,2150,02 9354 2000,https://www.cancercouncil.com.au,support_group; education,none,social_work,Verified. A key Western Sydney office providing local support and educational programs.,Sydney_clean,NSW,-33.813774,151.00435,high,Nominatim,"George Street, Parramatta, Sydney, City of Parramatta Council, New South Wales, 2150, Australia"
Chris O'Brien Lifehouse LivingRoom,Chris O'Brien Lifehouse,NGO,Wellness Center,119-143 Missenden Road,Camperdown,2050,02 8514 0038,https://www.mylifehouse.org.au,meditation/mindfulness; yoga; exercise,acupuncture; oncology_massage; exercise_physiology,psychology; art_therapy; music_therapy; dietetics,"Verified. This is the wellness and supportive care arm of Lifehouse, open to all patients.",Sydney_clean,NSW,-33.8897154,151.1821526,high,Nominatim,"Missenden Road, Camperdown, Inner West, Sydney, Council of the City of Sydney, New South Wales, 2050, Australia"
CanRevive Sydney City Centre,CanRevive Inc.,NGO,Community Support Center,"Level 4, 741 George Street",Haymarket,2000,02 9212 7789,https://www.canrevive.com,support_group; qi_gong/tai_chi; art_therapy; education,counselling,social_work; palliative_care,Verified. A vital service providing culturally specific support for Chinese-speaking patients and carers.,Sydney_clean,NSW,,,failed,,
CanRevive Northern Sydney,CanRevive Inc.,NGO,Community Support Center,65 Archer Street,Chatswood,2067,02 9139 3233,https://www.canrevive.com,support_group; education,counselling,none,Verified. Provides local programs and support for the Chinese-speaking community in Northern Sydney.,Sydney_clean,NSW,-33.796334,151.1860628,high,Nominatim,"North Shore House, 65, Archer Street, Chatswood, Lower North Shore, Sydney, Willoughby City Council, New South Wales, 2067, Australia"
CanRevive Southern Sydney,CanRevive Inc.,NGO,Community Support Center,8 Park Road,Hurstville,2217,0418 842 518,https://www.canrevive.com,support_group; art_therapy; education,home_visits,none,Verified. Provides local programs and support for the Chinese-speaking community in Southern Sydney.,Sydney_clean,NSW,-33.9673025,151.1064966,high,Nominatim,"Park Road, Hurstville, St George, Sydney, Georges River Council, New South Wales, 2220, Australia"
Look Good Feel Better Sydney,Cancer Patients Foundation,NGO,Workshop Program,100+ venues across Sydney,Various,Various,Website,https://lgfb.org.au,education,wig_service; confidence_coaching,online_resources,Verified. National program with workshops at various Sydney locations. Central booking required.,Sydney_clean,NSW,,,failed,,
Dragons Abreast Sydney,Dragons Abreast Sydney,NGO,Recreation Program,Black Wattle Bay,Pyrmont,2009,Website,https://dragonsabreastsydney.org.au,exercise; support_group,none,peer_support,Verified. A dragon boating club for breast cancer survivors offering exercise and peer support.,Sydney_clean,NSW,,,failed,,
Leukaemia Foundation Sydney,Leukaemia Foundation,NGO,Support Center,Services across Sydney,Various,Various,1800 620 420,https://www.leukaemia.org.au,support_group,none,transport_assistance; accommodation_assistance; social_work; financial_assistance,Verified. Services are delivered in hospitals and the community; best accessed via the central helpline.,Sydney_clean,NSW,,,failed,,
CanTeen Youth Cancer Service (POWH),CanTeen,NGO,Hospital Services,Prince of Wales Hospital,Randwick,2031,1800 945 215,https://www.canteen.org.au,support_group; exercise,counselling; none,education_support,Verified. Specialist hospital-based team supporting young people 12-25 through their cancer treatment.,Sydney_clean,NSW,-33.9184539,151.2390229,high,Nominatim,"Prince of Wales Hospital, Barker Street, Randwick, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2031, Australia"
CanTeen Youth Cancer Service (Westmead),CanTeen,NGO,Hospital Services,Westmead Hospital,Westmead,2145,1800 945 215,https://www.canteen.org.au,support_group; exercise,counselling; none,education_support; fertility_counselling,Verified. Specialist hospital-based team supporting young people in Western Sydney.,Sydney_clean,NSW,-33.8027875,150.9870903,high,Nominatim,"Westmead Hospital, 166-174, Darcy Road, Westmead, Sydney, City of Parramatta Council, New South Wales, 2145, Australia"
CanTeen Youth Cancer Service (RPA/Lifehouse),CanTeen,NGO,Hospital Services,RPA Hospital/Chris O'Brien Lifehouse,Camperdown,2050,1800 945 215,https://www.canteen.org.au,support_group; exercise,counselling; none,education_support,Verified. Specialist hospital-based team supporting young people at the Camperdown campus.,Sydney_clean,NSW,,,failed,,
Cancer Wellness Support Penrith,Cancer Wellness Support,NGO,Wellness Center,Penrith Valley Centre,Penrith,2750,02 4784 2297,https://cancersupport.org.au,support_group; education,counselling,complementary_therapies,Verified. Provides wellness workshops and support groups for the Penrith community.,Sydney_clean,NSW,-33.7545354,150.7349028,high,Nominatim,"Penrith Valley Regional Sports Centre, Herbert Street, Cambridge Park, Sydney, Penrith City Council, New South Wales, 2747, Australia"
Sanadi Foundation Arabic Support,Arab Council Australia,NGO,Community Program,Sydney-based services,Various,Various,Website,http://arabcouncil.org.au/,education,counselling,volunteer_support,Verified. A culturally specific program providing support and education for Arabic-speaking patients.,Sydney_clean,NSW,,,failed,,
Sutherland Shire Cancer Support Group,Sutherland Shire Council,Local Council,Community Center,23 Kiora Road,Miranda,2228,0428 229 969,Not specified,support_group,none,peer_support,"Verified as a listed service, but details are volatile. Direct contact via phone is essential before attending.",Sydney_clean,NSW,-34.0345183,151.102127,high,Nominatim,"Kiora Road, Miranda, Sydney, Sutherland Shire Council, New South Wales, 2228, Australia"
Sutherland Breast Cancer Support,Sutherland Shire Council,Local Council,Community Center,57 Manchester Rd,Gymea,2227,0405 643 833,Not specified,support_group,none,peer_support,"Verified as a listed service, but details are volatile. Direct contact via phone is essential before attending.",Sydney_clean,NSW,-34.036707,151.0883025,high,Nominatim,"Manchester Road, Gymea, Sydney, Sutherland Shire Council, New South Wales, 2227, Australia"
Macquarie University Hospital Cancer Services,Macquarie University,University Clinic,University Hospital,3 Technology Place,Macquarie Park,2109,02 9812 3000,https://www.mqhealth.org.au,exercise,clinical_trials,comprehensive_cancer_services,Verified. A comprehensive private hospital with integrated cancer services and research.,Sydney_clean,NSW,-33.7738213,151.1180017,high,Nominatim,"Macquarie University Hospital, 3, Technology Place, Macquarie Park, Sydney, Council of the City of Ryde, New South Wales, 2113, Australia"
McGrath Breast Care Nurse (Lifehouse/RPA),McGrath Foundation,NGO,Nursing Support,119-143 Missenden Road,Camperdown,2050,02 8514 0000,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within the Lifehouse/RPA team. Access via hospital or McGrath Foundation.,Sydney_clean,NSW,-33.8897154,151.1821526,high,Nominatim,"Missenden Road, Camperdown, Inner West, Sydney, Council of the City of Sydney, New South Wales, 2050, Australia"
McGrath Breast Care Nurse (POWH),McGrath Foundation,NGO,Nursing Support,High Street,Randwick,2031,02 9382 2222,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within the Prince of Wales Hospital. Access via hospital or McGrath Foundation.,Sydney_clean,NSW,-33.9164836,151.2357163,high,Nominatim,"High Street, Randwick, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2031, Australia"
McGrath Breast Care Nurse (Liverpool),McGrath Foundation,NGO,Nursing Support,Elizabeth Street,Liverpool,2170,02 8738 3000,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within Liverpool Hospital. Access via hospital or McGrath Foundation.,Sydney_clean,NSW,-33.9209566,150.9318502,high,Nominatim,"Elizabeth Street, Liverpool, Sydney, Liverpool City Council, New South Wales, 2170, Australia"
McGrath Breast Care Nurse (Westmead),McGrath Foundation,NGO,Nursing Support,Cnr Darcy and Hawkesbury Rds,Westmead,2145,02 8890 5200,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within Westmead Hospital. Access via hospital or McGrath Foundation.,Sydney_clean,NSW,,,failed,,
McGrath Breast Care Nurse (Nepean),McGrath Foundation,NGO,Nursing Support,Cnr Great Western Hwy and Somerset St,Kingswood,2747,02 4734 2000,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within Nepean Hospital. Access via hospital or McGrath Foundation.,Sydney_clean,NSW,,,failed,,
Cancer Care Services (RBWH),Royal Brisbane and Women's Hospital,Public Hospital,Hospital,Butterfield Street,Herston,4006,07 3646 8111,https://metronorth.health.qld.gov.au/rbwh,support_group; education,medical_oncology; radiation_oncology; surgical_oncology; palliative_care,allied_health; social_work; psychology; dietetics,Verified. A primary public tertiary cancer centre for Brisbane and Queensland.,Brisbane_clean,QLD,-27.4445912,153.0184425,high,Nominatim,"Butterfield Street, Herston, Greater Brisbane, Queensland, 4006, Australia"
PA Hospital Cancer Services,Princess Alexandra Hospital,Public Hospital,Hospital,199 Ipswich Road,Woolloongabba,4102,07 3176 2111,https://metrosouth.health.qld.gov.au/pa-hospital,support_group; education,medical_oncology; radiation_oncology; surgical_oncology; haematology,social_work; dietetics; physiotherapy,Verified. A major tertiary cancer centre with a state-wide reputation for haematology services.,Brisbane_clean,QLD,-27.4987917,153.0328694,high,Nominatim,"Princess Alexandra Hospital, 199, Ipswich Road, Buranda, Woolloongabba, Greater Brisbane, Queensland, 4102, Australia"
PA Cancer Wellness Initiative,Princess Alexandra Hospital,Public Hospital,Hospital Program,199 Ipswich Road,Woolloongabba,4102,07 3176 2111,https://www.pacancerwellness.com/,support_group; education,lymphoedema_therapy,online_resources; nursing_support,"Verified. A hospital-led initiative focusing on survivorship and wellness, primarily via online resources.",Brisbane_clean,QLD,-27.4987917,153.0328694,high,Nominatim,"Princess Alexandra Hospital, 199, Ipswich Road, Buranda, Woolloongabba, Greater Brisbane, Queensland, 4102, Australia"
Mater Cancer Care Centre,Mater Hospital Brisbane,Private/Public,Hospital,Raymond Terrace,South Brisbane,4101,07 3163 8111,https://www.mater.org.au,support_group; education,chemotherapy; radiation_therapy; surgical_oncology,palliative_care; psychology; social_work,Verified. A major provider offering both public and private cancer care services.,Brisbane_clean,QLD,-27.4840835,153.0256503,high,Nominatim,"Raymond Terrace, South Brisbane, Greater Brisbane, Queensland, 4101, Australia"
QEII Hospital Cancer Services,QEII Jubilee Hospital,Public Hospital,Hospital,Cnr Kessels and Troughton Rds,Coopers Plains,4108,07 3182 6111,https://metrosouth.health.qld.gov.au/qeii-jubilee-hospital,support_group,medical_oncology; surgical_services,nursing_support; social_work,Verified. Important public hospital providing cancer care for Brisbane's southside.,Brisbane_clean,QLD,,,failed,,
Logan Hospital Cancer Services,Logan Hospital,Public Hospital,Hospital,Cnr Armstrong and Loganlea Rds,Meadowbrook,4131,07 3299 8899,https://metrosouth.health.qld.gov.au/logan-hospital,support_group; education,medical_oncology; surgical_oncology,allied_health; social_work,Verified. Key public hospital and cancer service provider for the Logan region.,Brisbane_clean,QLD,,,failed,,
Redcliffe Hospital Cancer Services,Redcliffe Hospital,Public Hospital,Hospital,Anzac Avenue,Redcliffe,4020,07 3883 7777,https://metronorth.health.qld.gov.au/redcliffe-hospital,support_group,medical_oncology; surgical_services,allied_health; social_work,Verified. Main public hospital providing cancer care to the Moreton Bay region.,Brisbane_clean,QLD,-27.2298107,153.1074011,high,Nominatim,"Anzac Avenue, Redcliffe, Greater Brisbane, City of Moreton Bay, Queensland, 4020, Australia"
Cancer Council Queensland,Cancer Council,NGO/Charity,Support Organisation,553 Gregory Terrace,Fortitude Valley,4006,13 11 20,https://cancerqld.org.au/,support_group; exercise; education,counselling; wig_service,financial_assistance; transport_assistance; accommodation_assistance,Verified. The primary non-profit support organization. The 13 11 20 helpline is the best first point of contact.,Brisbane_clean,QLD,-27.452541,153.0299071,high,Nominatim,"553, Gregory Terrace, Fortitude Valley, Greater Brisbane, Queensland, 4006, Australia"
ESA Blood Cancer Centre,Leukaemia Foundation,NGO/Charity,Accommodation Centre,41 Peter Doherty Street,Dutton Park,4102,1800 620 420,https://www.leukaemia.org.au/,support_group,none,accommodation_assistance; transport_assistance,"Verified. A key accommodation lodge for regional blood cancer patients, located near PA Hospital.",Brisbane_clean,QLD,-27.4967746,153.030426,high,Nominatim,"41, Peter Doherty Street, Dutton Park, City of Brisbane, Queensland, 4102, Australia"
Phillip Desbrow Blood Cancer Centre,Leukaemia Foundation,NGO/Charity,Accommodation Centre,Near RBWH,Herston,4006,1800 620 420,https://www.leukaemia.org.au/,support_group,none,accommodation_assistance; transport_assistance,"Verified. A key accommodation lodge for regional blood cancer patients, located near RBWH.",Brisbane_clean,QLD,,,failed,,
Clem Jones-Sunland Blood Cancer Centre,Leukaemia Foundation,NGO/Charity,Accommodation Centre,170 Middle Street,Coopers Plains,4108,1800 620 420,https://www.leukaemia.org.au/,support_group,none,accommodation_assistance; transport_assistance,"Verified. A key accommodation lodge for regional blood cancer patients, located near QEII Hospital.",Brisbane_clean,QLD,-27.5605994,153.0491725,high,Nominatim,"The Leukaemia Foundation Accommodation Centre, 170, Middle Street, Coopers Plains, Greater Brisbane, Queensland, 4108, Australia"
Queensland Youth Cancer Service,CanTeen/Queensland Health,Government/NGO,Youth Service,"You Can Centre, RBWH",Herston,4006,07 3646 5207,https://www.canteen.org.au/,support_group; exercise,care_coordination; psychology; social_work,education_support,"Verified. The specialist clinical service for young people (15-25) with cancer, based at RBWH.",Brisbane_clean,QLD,,,failed,,
CanTeen Queensland,CanTeen,NGO/Charity,Youth Support,West End,West End,4101,1800 835 932,https://www.canteen.org.au/,support_group; exercise,counselling; online_support,parent_support; sibling_support,"Verified. CanTeen's community-based peer support service, distinct from the hospital-based clinical service.",Brisbane_clean,QLD,-27.483682,153.0032174,high,Nominatim,"Resort Brokers Australia, 362, Montague Road, Hill End, West End, Greater Brisbane, Queensland, 4101, Australia"
Camp Quality Queensland,Camp Quality,NGO/Charity,Family Support,Bowen Hills,Bowen Hills,4006,1300 662 267,https://www.campquality.org.au/,support_group,counselling; in_hospital_support,accommodation_assistance; education_support,"Verified. A major charity providing camps, fun days, and respite for children with cancer.",Brisbane_clean,QLD,-27.4452317,153.0375993,high,Nominatim,"Bowen Hills, Abbotsford Road, Mayne, Bowen Hills, Greater Brisbane, Queensland, 4006, Australia"
Redkite Queensland,Redkite,NGO/Charity,Family Support,Brisbane Office,Brisbane,4000,1800 733 548,https://www.redkite.org.au/,support_group,counselling; social_work; music_therapy,financial_assistance; education_support,Verified. A key charity providing essential financial and practical support to families of children with cancer.,Brisbane_clean,QLD,-27.4714469,153.0294491,high,Nominatim,"Taipei Economic and Cultural Office, 46, Edward Street, Golden Triangle, Brisbane City, Greater Brisbane, Queensland, 4000, Australia"
Childhood Cancer Support,Childhood Cancer Support,NGO/Charity,Family Support,Herston,Herston,4006,07 3844 5000,https://www.ccs.org.au/,support_group,social_work,accommodation_assistance; transport_assistance,Verified. A long-standing local charity providing accommodation and practical support for families.,Brisbane_clean,QLD,-27.4467898,153.0227913,high,Nominatim,"Herston, Greater Brisbane, Queensland, 4029, Australia"
UQ Psychology Clinic,University of Queensland,University,Training Clinic,St Lucia Campus,St Lucia,4072,07 3365 6451,https://clinic.psychology.uq.edu.au/,support_group,psychology; counselling,low_cost_service,Verified. A low-cost teaching clinic providing therapy services to the public. Contact for fees and wait times.,Brisbane_clean,QLD,,,failed,,
QUT Psychology and Counselling Clinic,Queensland University of Technology,University,Training Clinic,Kelvin Grove,Kelvin Grove,4059,07 3138 9777,https://www.healthclinics.qut.edu.au/,support_group,psychology; counselling,low_cost_service,Verified. A low-cost teaching clinic providing therapy services to the public. Contact for fees and wait times.,Brisbane_clean,QLD,-27.4494263,153.011342,high,Nominatim,"Kelvin Grove, Greater Brisbane, Queensland, 4059, Australia"
